clk,MDM_RCLK,MDM_TCLK,CARD_RD,PIO_PB6,I1,U12_4,/RST,CTC_RTCA,,PIO_PA7,RST,RTC_ALE,O1,O2,MDM_ALE,TxCA,RxCA
1,0,0,0,0,1,0,0,0,,1,1,1,1,1,1,0,0
0,0,0,0,0,1,0,0,0,,1,1,1,1,1,1,0,0
1,0,0,0,0,1,0,0,0,,1,1,1,1,1,1,0,0
0,0,0,0,0,1,0,0,0,,1,1,1,1,1,1,0,0
1,1,0,0,0,1,0,0,0,,1,1,1,1,1,1,0,0
0,1,0,0,0,1,0,0,0,,1,1,1,1,1,1,0,0
1,1,0,0,0,1,0,0,0,,1,1,1,1,1,1,0,0
0,1,0,0,0,1,0,0,0,,1,1,1,1,1,1,0,0
1,0,1,0,0,1,0,0,0,,1,1,1,1,1,1,0,0
0,0,1,0,0,1,0,0,0,,1,1,1,1,1,1,0,0
1,0,1,0,0,1,0,0,0,,1,1,1,1,1,1,0,0
0,0,1,0,0,1,0,0,0,,1,1,1,1,1,1,0,0
1,1,1,0,0,1,0,0,0,,1,1,1,1,1,1,0,0
0,1,1,0,0,1,0,0,0,,1,1,1,1,1,1,0,0
1,1,1,0,0,1,0,0,0,,1,1,1,1,1,1,0,0
0,1,1,0,0,1,0,0,0,,1,1,1,1,1,1,0,0
1,0,0,1,0,1,0,0,0,,0,1,1,1,1,1,0,0
0,0,0,1,0,1,0,0,0,,0,1,1,1,1,1,0,0
1,0,0,1,0,1,0,0,0,,0,1,1,1,1,1,0,0
0,0,0,1,0,1,0,0,0,,0,1,1,1,1,1,0,0
1,1,0,1,0,1,0,0,0,,0,1,1,1,1,1,0,0
0,1,0,1,0,1,0,0,0,,0,1,1,1,1,1,0,0
1,1,0,1,0,1,0,0,0,,0,1,1,1,1,1,0,0
0,1,0,1,0,1,0,0,0,,0,1,1,1,1,1,0,0
1,0,1,1,0,1,0,0,0,,0,1,1,1,1,1,0,0
0,0,1,1,0,1,0,0,0,,0,1,1,1,1,1,0,0
1,0,1,1,0,1,0,0,0,,0,1,1,1,1,1,0,0
0,0,1,1,0,1,0,0,0,,0,1,1,1,1,1,0,0
1,1,1,1,0,1,0,0,0,,0,1,1,1,1,1,0,0
0,1,1,1,0,1,0,0,0,,0,1,1,1,1,1,0,0
1,1,1,1,0,1,0,0,0,,0,1,1,1,1,1,0,0
0,1,1,1,0,1,0,0,0,,0,1,1,1,1,1,0,0
1,0,0,0,1,1,0,0,0,,1,1,1,1,1,1,0,0
0,0,0,0,1,1,0,0,0,,1,1,1,1,1,1,0,0
1,0,0,0,1,1,0,0,0,,1,1,1,1,1,1,0,0
0,0,0,0,1,1,0,0,0,,1,1,1,1,1,1,0,0
1,1,0,0,1,1,0,0,0,,1,1,1,1,1,1,0,1
0,1,0,0,1,1,0,0,0,,1,1,1,1,1,1,0,1
1,1,0,0,1,1,0,0,0,,1,1,1,1,1,1,0,1
0,1,0,0,1,1,0,0,0,,1,1,1,1,1,1,0,1
1,0,1,0,1,1,0,0,0,,1,1,1,1,1,1,1,0
0,0,1,0,1,1,0,0,0,,1,1,1,1,1,1,1,0
1,0,1,0,1,1,0,0,0,,1,1,1,1,1,1,1,0
0,0,1,0,1,1,0,0,0,,1,1,1,1,1,1,1,0
1,1,1,0,1,1,0,0,0,,1,1,1,1,1,1,1,1
0,1,1,0,1,1,0,0,0,,1,1,1,1,1,1,1,1
1,1,1,0,1,1,0,0,0,,1,1,1,1,1,1,1,1
0,1,1,0,1,1,0,0,0,,1,1,1,1,1,1,1,1
1,0,0,1,1,1,0,0,0,,0,1,1,1,1,1,0,0
0,0,0,1,1,1,0,0,0,,0,1,1,1,1,1,0,0
1,0,0,1,1,1,0,0,0,,0,1,1,1,1,1,0,0
0,0,0,1,1,1,0,0,0,,0,1,1,1,1,1,0,0
1,1,0,1,1,1,0,0,0,,0,1,1,1,1,1,0,1
0,1,0,1,1,1,0,0,0,,0,1,1,1,1,1,0,1
1,1,0,1,1,1,0,0,0,,0,1,1,1,1,1,0,1
0,1,0,1,1,1,0,0,0,,0,1,1,1,1,1,0,1
1,0,1,1,1,1,0,0,0,,0,1,1,1,1,1,1,0
0,0,1,1,1,1,0,0,0,,0,1,1,1,1,1,1,0
1,0,1,1,1,1,0,0,0,,0,1,1,1,1,1,1,0
0,0,1,1,1,1,0,0,0,,0,1,1,1,1,1,1,0
1,1,1,1,1,1,0,0,0,,0,1,1,1,1,1,1,1
0,1,1,1,1,1,0,0,0,,0,1,1,1,1,1,1,1
1,1,1,1,1,1,0,0,0,,0,1,1,1,1,1,1,1
0,1,1,1,1,1,0,0,0,,0,1,1,1,1,1,1,1
1,0,0,0,0,0,1,0,0,,1,1,1,1,1,1,0,0
0,0,0,0,0,0,1,0,0,,1,1,1,1,1,1,0,0
1,0,0,0,0,0,1,0,0,,1,1,1,1,1,1,0,0
0,0,0,0,0,0,1,0,0,,1,1,1,1,1,1,0,0
1,1,0,0,0,0,1,0,0,,1,1,1,1,1,1,0,0
0,1,0,0,0,0,1,0,0,,1,1,1,1,1,1,0,0
1,1,0,0,0,0,1,0,0,,1,1,1,1,1,1,0,0
0,1,0,0,0,0,1,0,0,,1,1,1,1,1,1,0,0
1,0,1,0,0,0,1,0,0,,1,1,1,1,1,1,0,0
0,0,1,0,0,0,1,0,0,,1,1,1,1,1,1,0,0
1,0,1,0,0,0,1,0,0,,1,1,1,1,1,1,0,0
0,0,1,0,0,0,1,0,0,,1,1,1,1,1,1,0,0
1,1,1,0,0,0,1,0,0,,1,1,1,1,1,1,0,0
0,1,1,0,0,0,1,0,0,,1,1,1,1,1,1,0,0
1,1,1,0,0,0,1,0,0,,1,1,1,1,1,1,0,0
0,1,1,0,0,0,1,0,0,,1,1,1,1,1,1,0,0
1,0,0,1,0,0,1,0,0,,0,1,1,1,1,1,0,0
0,0,0,1,0,0,1,0,0,,0,1,1,1,1,1,0,0
1,0,0,1,0,0,1,0,0,,0,1,1,1,1,1,0,0
0,0,0,1,0,0,1,0,0,,0,1,1,1,1,1,0,0
1,1,0,1,0,0,1,0,0,,0,1,1,1,1,1,0,0
0,1,0,1,0,0,1,0,0,,0,1,1,1,1,1,0,0
1,1,0,1,0,0,1,0,0,,0,1,1,1,1,1,0,0
0,1,0,1,0,0,1,0,0,,0,1,1,1,1,1,0,0
1,0,1,1,0,0,1,0,0,,0,1,1,1,1,1,0,0
0,0,1,1,0,0,1,0,0,,0,1,1,1,1,1,0,0
1,0,1,1,0,0,1,0,0,,0,1,1,1,1,1,0,0
0,0,1,1,0,0,1,0,0,,0,1,1,1,1,1,0,0
1,1,1,1,0,0,1,0,0,,0,1,1,1,1,1,0,0
0,1,1,1,0,0,1,0,0,,0,1,1,1,1,1,0,0
1,1,1,1,0,0,1,0,0,,0,1,1,1,1,1,0,0
0,1,1,1,0,0,1,0,0,,0,1,1,1,1,1,0,0
1,0,0,0,1,0,1,0,0,,1,1,1,1,1,1,0,0
0,0,0,0,1,0,1,0,0,,1,1,1,1,1,1,0,0
1,0,0,0,1,0,1,0,0,,1,1,1,1,1,1,0,0
0,0,0,0,1,0,1,0,0,,1,1,1,1,1,1,0,0
1,1,0,0,1,0,1,0,0,,1,1,1,1,1,1,1,1
0,1,0,0,1,0,1,0,0,,1,1,1,1,1,1,1,1
1,1,0,0,1,0,1,0,0,,1,1,1,1,1,1,1,1
0,1,0,0,1,0,1,0,0,,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,0,,1,1,1,1,1,1,0,0
0,0,1,0,1,0,1,0,0,,1,1,1,1,1,1,0,0
1,0,1,0,1,0,1,0,0,,1,1,1,1,1,1,0,0
0,0,1,0,1,0,1,0,0,,1,1,1,1,1,1,0,0
1,1,1,0,1,0,1,0,0,,1,1,1,1,1,1,1,1
0,1,1,0,1,0,1,0,0,,1,1,1,1,1,1,1,1
1,1,1,0,1,0,1,0,0,,1,1,1,1,1,1,1,1
0,1,1,0,1,0,1,0,0,,1,1,1,1,1,1,1,1
1,0,0,1,1,0,1,0,0,,0,1,1,1,1,1,0,0
0,0,0,1,1,0,1,0,0,,0,1,1,1,1,1,0,0
1,0,0,1,1,0,1,0,0,,0,1,1,1,1,1,0,0
0,0,0,1,1,0,1,0,0,,0,1,1,1,1,1,0,0
1,1,0,1,1,0,1,0,0,,0,1,1,1,1,1,1,1
0,1,0,1,1,0,1,0,0,,0,1,1,1,1,1,1,1
1,1,0,1,1,0,1,0,0,,0,1,1,1,1,1,1,1
0,1,0,1,1,0,1,0,0,,0,1,1,1,1,1,1,1
1,0,1,1,1,0,1,0,0,,0,1,1,1,1,1,0,0
0,0,1,1,1,0,1,0,0,,0,1,1,1,1,1,0,0
1,0,1,1,1,0,1,0,0,,0,1,1,1,1,1,0,0
0,0,1,1,1,0,1,0,0,,0,1,1,1,1,1,0,0
1,1,1,1,1,0,1,0,0,,0,1,1,1,1,1,1,1
0,1,1,1,1,0,1,0,0,,0,1,1,1,1,1,1,1
1,1,1,1,1,0,1,0,0,,0,1,1,1,1,1,1,1
0,1,1,1,1,0,1,0,0,,0,1,1,1,1,1,1,1
1,0,0,0,0,1,1,0,0,,1,1,1,1,1,1,0,0
0,0,0,0,0,1,1,0,0,,1,1,1,1,1,1,0,0
1,0,0,0,0,1,1,0,0,,1,1,1,1,1,1,0,0
0,0,0,0,0,1,1,0,0,,1,1,1,1,1,1,0,0
1,1,0,0,0,1,1,0,0,,1,1,1,1,1,1,0,0
0,1,0,0,0,1,1,0,0,,1,1,1,1,1,1,0,0
1,1,0,0,0,1,1,0,0,,1,1,1,1,1,1,0,0
0,1,0,0,0,1,1,0,0,,1,1,1,1,1,1,0,0
1,0,1,0,0,1,1,0,0,,1,1,1,1,1,1,0,0
0,0,1,0,0,1,1,0,0,,1,1,1,1,1,1,0,0
1,0,1,0,0,1,1,0,0,,1,1,1,1,1,1,0,0
0,0,1,0,0,1,1,0,0,,1,1,1,1,1,1,0,0
1,1,1,0,0,1,1,0,0,,1,1,1,1,1,1,0,0
0,1,1,0,0,1,1,0,0,,1,1,1,1,1,1,0,0
1,1,1,0,0,1,1,0,0,,1,1,1,1,1,1,0,0
0,1,1,0,0,1,1,0,0,,1,1,1,1,1,1,0,0
1,0,0,1,0,1,1,0,0,,0,1,1,1,1,1,0,0
0,0,0,1,0,1,1,0,0,,0,1,1,1,1,1,0,0
1,0,0,1,0,1,1,0,0,,0,1,1,1,1,1,0,0
0,0,0,1,0,1,1,0,0,,0,1,1,1,1,1,0,0
1,1,0,1,0,1,1,0,0,,0,1,1,1,1,1,0,0
0,1,0,1,0,1,1,0,0,,0,1,1,1,1,1,0,0
1,1,0,1,0,1,1,0,0,,0,1,1,1,1,1,0,0
0,1,0,1,0,1,1,0,0,,0,1,1,1,1,1,0,0
1,0,1,1,0,1,1,0,0,,0,1,1,1,1,1,0,0
0,0,1,1,0,1,1,0,0,,0,1,1,1,1,1,0,0
1,0,1,1,0,1,1,0,0,,0,1,1,1,1,1,0,0
0,0,1,1,0,1,1,0,0,,0,1,1,1,1,1,0,0
1,1,1,1,0,1,1,0,0,,0,1,1,1,1,1,0,0
0,1,1,1,0,1,1,0,0,,0,1,1,1,1,1,0,0
1,1,1,1,0,1,1,0,0,,0,1,1,1,1,1,0,0
0,1,1,1,0,1,1,0,0,,0,1,1,1,1,1,0,0
1,0,0,0,1,1,1,0,0,,1,1,1,1,1,1,0,0
0,0,0,0,1,1,1,0,0,,1,1,1,1,1,1,0,0
1,0,0,0,1,1,1,0,0,,1,1,1,1,1,1,0,0
0,0,0,0,1,1,1,0,0,,1,1,1,1,1,1,0,0
1,1,0,0,1,1,1,0,0,,1,1,1,1,1,1,0,1
0,1,0,0,1,1,1,0,0,,1,1,1,1,1,1,0,1
1,1,0,0,1,1,1,0,0,,1,1,1,1,1,1,0,1
0,1,0,0,1,1,1,0,0,,1,1,1,1,1,1,0,1
1,0,1,0,1,1,1,0,0,,1,1,1,1,1,1,1,0
0,0,1,0,1,1,1,0,0,,1,1,1,1,1,1,1,0
1,0,1,0,1,1,1,0,0,,1,1,1,1,1,1,1,0
0,0,1,0,1,1,1,0,0,,1,1,1,1,1,1,1,0
1,1,1,0,1,1,1,0,0,,1,1,1,1,1,1,1,1
0,1,1,0,1,1,1,0,0,,1,1,1,1,1,1,1,1
1,1,1,0,1,1,1,0,0,,1,1,1,1,1,1,1,1
0,1,1,0,1,1,1,0,0,,1,1,1,1,1,1,1,1
1,0,0,1,1,1,1,0,0,,0,1,1,1,1,1,0,0
0,0,0,1,1,1,1,0,0,,0,1,1,1,1,1,0,0
1,0,0,1,1,1,1,0,0,,0,1,1,1,1,1,0,0
0,0,0,1,1,1,1,0,0,,0,1,1,1,1,1,0,0
1,1,0,1,1,1,1,0,0,,0,1,1,1,1,1,0,1
0,1,0,1,1,1,1,0,0,,0,1,1,1,1,1,0,1
1,1,0,1,1,1,1,0,0,,0,1,1,1,1,1,0,1
0,1,0,1,1,1,1,0,0,,0,1,1,1,1,1,0,1
1,0,1,1,1,1,1,0,0,,0,1,1,1,1,1,1,0
0,0,1,1,1,1,1,0,0,,0,1,1,1,1,1,1,0
1,0,1,1,1,1,1,0,0,,0,1,1,1,1,1,1,0
0,0,1,1,1,1,1,0,0,,0,1,1,1,1,1,1,0
1,1,1,1,1,1,1,0,0,,0,1,1,1,1,1,1,1
0,1,1,1,1,1,1,0,0,,0,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,0,,0,1,1,1,1,1,1,1
0,1,1,1,1,1,1,0,0,,0,1,1,1,1,1,1,1
1,0,0,0,0,0,0,1,0,,1,0,1,1,1,1,0,0
0,0,0,0,0,0,0,1,0,,1,0,1,1,1,1,0,0
1,0,0,0,0,0,0,1,0,,1,0,1,1,1,1,0,0
0,0,0,0,0,0,0,1,0,,1,0,1,1,1,1,0,0
1,1,0,0,0,0,0,1,0,,1,0,1,1,1,1,0,0
0,1,0,0,0,0,0,1,0,,1,0,1,1,1,1,0,0
1,1,0,0,0,0,0,1,0,,1,0,1,1,1,1,0,0
0,1,0,0,0,0,0,1,0,,1,0,1,1,1,1,0,0
1,0,1,0,0,0,0,1,0,,1,0,1,1,1,1,0,0
0,0,1,0,0,0,0,1,0,,1,0,1,1,1,1,0,0
1,0,1,0,0,0,0,1,0,,1,0,1,1,1,1,0,0
0,0,1,0,0,0,0,1,0,,1,0,1,1,1,1,0,0
1,1,1,0,0,0,0,1,0,,1,0,1,1,1,1,0,0
0,1,1,0,0,0,0,1,0,,1,0,1,1,1,1,0,0
1,1,1,0,0,0,0,1,0,,1,0,1,1,1,1,0,0
0,1,1,0,0,0,0,1,0,,1,0,1,1,1,1,0,0
1,0,0,1,0,0,0,1,0,,0,0,1,1,1,1,0,0
0,0,0,1,0,0,0,1,0,,0,0,1,1,1,1,0,0
1,0,0,1,0,0,0,1,0,,0,0,1,1,1,1,0,0
0,0,0,1,0,0,0,1,0,,0,0,1,1,1,1,0,0
1,1,0,1,0,0,0,1,0,,0,0,1,1,1,1,0,0
0,1,0,1,0,0,0,1,0,,0,0,1,1,1,1,0,0
1,1,0,1,0,0,0,1,0,,0,0,1,1,1,1,0,0
0,1,0,1,0,0,0,1,0,,0,0,1,1,1,1,0,0
1,0,1,1,0,0,0,1,0,,0,0,1,1,1,1,0,0
0,0,1,1,0,0,0,1,0,,0,0,1,1,1,1,0,0
1,0,1,1,0,0,0,1,0,,0,0,1,1,1,1,0,0
0,0,1,1,0,0,0,1,0,,0,0,1,1,1,1,0,0
1,1,1,1,0,0,0,1,0,,0,0,1,1,1,1,0,0
0,1,1,1,0,0,0,1,0,,0,0,1,1,1,1,0,0
1,1,1,1,0,0,0,1,0,,0,0,1,1,1,1,0,0
0,1,1,1,0,0,0,1,0,,0,0,1,1,1,1,0,0
1,0,0,0,1,0,0,1,0,,1,0,1,1,1,1,0,0
0,0,0,0,1,0,0,1,0,,1,0,1,1,1,1,0,0
1,0,0,0,1,0,0,1,0,,1,0,1,1,1,1,0,0
0,0,0,0,1,0,0,1,0,,1,0,1,1,1,1,0,0
1,1,0,0,1,0,0,1,0,,1,0,1,1,1,1,1,1
0,1,0,0,1,0,0,1,0,,1,0,1,1,1,1,1,1
1,1,0,0,1,0,0,1,0,,1,0,1,1,1,1,1,1
0,1,0,0,1,0,0,1,0,,1,0,1,1,1,1,1,1
1,0,1,0,1,0,0,1,0,,1,0,1,1,1,1,0,0
0,0,1,0,1,0,0,1,0,,1,0,1,1,1,1,0,0
1,0,1,0,1,0,0,1,0,,1,0,1,1,1,1,0,0
0,0,1,0,1,0,0,1,0,,1,0,1,1,1,1,0,0
1,1,1,0,1,0,0,1,0,,1,0,1,1,1,1,1,1
0,1,1,0,1,0,0,1,0,,1,0,1,1,1,1,1,1
1,1,1,0,1,0,0,1,0,,1,0,1,1,1,1,1,1
0,1,1,0,1,0,0,1,0,,1,0,1,1,1,1,1,1
1,0,0,1,1,0,0,1,0,,0,0,1,1,1,1,0,0
0,0,0,1,1,0,0,1,0,,0,0,1,1,1,1,0,0
1,0,0,1,1,0,0,1,0,,0,0,1,1,1,1,0,0
0,0,0,1,1,0,0,1,0,,0,0,1,1,1,1,0,0
1,1,0,1,1,0,0,1,0,,0,0,1,1,1,1,1,1
0,1,0,1,1,0,0,1,0,,0,0,1,1,1,1,1,1
1,1,0,1,1,0,0,1,0,,0,0,1,1,1,1,1,1
0,1,0,1,1,0,0,1,0,,0,0,1,1,1,1,1,1
1,0,1,1,1,0,0,1,0,,0,0,1,1,1,1,0,0
0,0,1,1,1,0,0,1,0,,0,0,1,1,1,1,0,0
1,0,1,1,1,0,0,1,0,,0,0,1,1,1,1,0,0
0,0,1,1,1,0,0,1,0,,0,0,1,1,1,1,0,0
1,1,1,1,1,0,0,1,0,,0,0,1,1,1,1,1,1
0,1,1,1,1,0,0,1,0,,0,0,1,1,1,1,1,1
1,1,1,1,1,0,0,1,0,,0,0,1,1,1,1,1,1
0,1,1,1,1,0,0,1,0,,0,0,1,1,1,1,1,1
1,0,0,0,0,1,0,1,0,,1,0,1,1,1,1,0,0
0,0,0,0,0,1,0,1,0,,1,0,1,1,1,1,0,0
1,0,0,0,0,1,0,1,0,,1,0,1,1,1,1,0,0
0,0,0,0,0,1,0,1,0,,1,0,1,1,1,1,0,0
1,1,0,0,0,1,0,1,0,,1,0,1,1,1,1,0,0
0,1,0,0,0,1,0,1,0,,1,0,1,1,1,1,0,0
1,1,0,0,0,1,0,1,0,,1,0,1,1,1,1,0,0
0,1,0,0,0,1,0,1,0,,1,0,1,1,1,1,0,0
1,0,1,0,0,1,0,1,0,,1,0,1,1,1,1,0,0
0,0,1,0,0,1,0,1,0,,1,0,1,1,1,1,0,0
1,0,1,0,0,1,0,1,0,,1,0,1,1,1,1,0,0
0,0,1,0,0,1,0,1,0,,1,0,1,1,1,1,0,0
1,1,1,0,0,1,0,1,0,,1,0,1,1,1,1,0,0
0,1,1,0,0,1,0,1,0,,1,0,1,1,1,1,0,0
1,1,1,0,0,1,0,1,0,,1,0,1,1,1,1,0,0
0,1,1,0,0,1,0,1,0,,1,0,1,1,1,1,0,0
1,0,0,1,0,1,0,1,0,,0,0,1,1,1,1,0,0
0,0,0,1,0,1,0,1,0,,0,0,1,1,1,1,0,0
1,0,0,1,0,1,0,1,0,,0,0,1,1,1,1,0,0
0,0,0,1,0,1,0,1,0,,0,0,1,1,1,1,0,0
1,1,0,1,0,1,0,1,0,,0,0,1,1,1,1,0,0
0,1,0,1,0,1,0,1,0,,0,0,1,1,1,1,0,0
1,1,0,1,0,1,0,1,0,,0,0,1,1,1,1,0,0
0,1,0,1,0,1,0,1,0,,0,0,1,1,1,1,0,0
1,0,1,1,0,1,0,1,0,,0,0,1,1,1,1,0,0
0,0,1,1,0,1,0,1,0,,0,0,1,1,1,1,0,0
1,0,1,1,0,1,0,1,0,,0,0,1,1,1,1,0,0
0,0,1,1,0,1,0,1,0,,0,0,1,1,1,1,0,0
1,1,1,1,0,1,0,1,0,,0,0,1,1,1,1,0,0
0,1,1,1,0,1,0,1,0,,0,0,1,1,1,1,0,0
1,1,1,1,0,1,0,1,0,,0,0,1,1,1,1,0,0
0,1,1,1,0,1,0,1,0,,0,0,1,1,1,1,0,0
1,0,0,0,1,1,0,1,0,,1,0,1,1,1,1,0,0
0,0,0,0,1,1,0,1,0,,1,0,1,1,1,1,0,0
1,0,0,0,1,1,0,1,0,,1,0,1,1,1,1,0,0
0,0,0,0,1,1,0,1,0,,1,0,1,1,1,1,0,0
1,1,0,0,1,1,0,1,0,,1,0,1,1,1,1,0,1
0,1,0,0,1,1,0,1,0,,1,0,1,1,1,1,0,1
1,1,0,0,1,1,0,1,0,,1,0,1,1,1,1,0,1
0,1,0,0,1,1,0,1,0,,1,0,1,1,1,1,0,1
1,0,1,0,1,1,0,1,0,,1,0,1,1,1,1,1,0
0,0,1,0,1,1,0,1,0,,1,0,1,1,1,1,1,0
1,0,1,0,1,1,0,1,0,,1,0,1,1,1,1,1,0
0,0,1,0,1,1,0,1,0,,1,0,1,1,1,1,1,0
1,1,1,0,1,1,0,1,0,,1,0,1,1,1,1,1,1
0,1,1,0,1,1,0,1,0,,1,0,1,1,1,1,1,1
1,1,1,0,1,1,0,1,0,,1,0,1,1,1,1,1,1
0,1,1,0,1,1,0,1,0,,1,0,1,1,1,1,1,1
1,0,0,1,1,1,0,1,0,,0,0,1,1,1,1,0,0
0,0,0,1,1,1,0,1,0,,0,0,1,1,1,1,0,0
1,0,0,1,1,1,0,1,0,,0,0,1,1,1,1,0,0
0,0,0,1,1,1,0,1,0,,0,0,1,1,1,1,0,0
1,1,0,1,1,1,0,1,0,,0,0,1,1,1,1,0,1
0,1,0,1,1,1,0,1,0,,0,0,1,1,1,1,0,1
1,1,0,1,1,1,0,1,0,,0,0,1,1,1,1,0,1
0,1,0,1,1,1,0,1,0,,0,0,1,1,1,1,0,1
1,0,1,1,1,1,0,1,0,,0,0,1,1,1,1,1,0
0,0,1,1,1,1,0,1,0,,0,0,1,1,1,1,1,0
1,0,1,1,1,1,0,1,0,,0,0,1,1,1,1,1,0
0,0,1,1,1,1,0,1,0,,0,0,1,1,1,1,1,0
1,1,1,1,1,1,0,1,0,,0,0,1,1,1,1,1,1
0,1,1,1,1,1,0,1,0,,0,0,1,1,1,1,1,1
1,1,1,1,1,1,0,1,0,,0,0,1,1,1,1,1,1
0,1,1,1,1,1,0,1,0,,0,0,1,1,1,1,1,1
1,0,0,0,0,0,1,1,0,,1,0,1,1,1,1,0,0
0,0,0,0,0,0,1,1,0,,1,0,1,1,1,1,0,0
1,0,0,0,0,0,1,1,0,,1,0,1,1,1,1,0,0
0,0,0,0,0,0,1,1,0,,1,0,1,1,1,1,0,0
1,1,0,0,0,0,1,1,0,,1,0,1,1,1,1,0,0
0,1,0,0,0,0,1,1,0,,1,0,1,1,1,1,0,0
1,1,0,0,0,0,1,1,0,,1,0,1,1,1,1,0,0
0,1,0,0,0,0,1,1,0,,1,0,1,1,1,1,0,0
1,0,1,0,0,0,1,1,0,,1,0,1,1,1,1,0,0
0,0,1,0,0,0,1,1,0,,1,0,1,1,1,1,0,0
