A4,A6,?I1,/WR,?I2,/RST,A5,/IORQ,/RD,A7,,MODEM_WR,MODEM_RD,?O1,/RTC_CE,/CTC_CE,U11_7,/PIO_CE,/SIO_CE
0,0,0,0,1,0,1,0,0,0,,1,1,1,1,1,1,1,1
1,0,0,0,1,0,1,0,0,0,,1,1,1,1,1,1,1,1
0,1,0,0,1,0,1,0,0,0,,1,1,1,1,1,1,1,1
1,1,0,0,1,0,1,0,0,0,,1,1,1,1,1,1,1,1
0,0,1,0,1,0,1,0,0,0,,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,0,0,,1,1,1,1,1,1,1,1
0,1,1,0,1,0,1,0,0,0,,1,1,1,1,1,1,1,1
1,1,1,0,1,0,1,0,0,0,,1,1,1,1,1,1,1,1
0,0,0,1,1,0,1,0,0,0,,1,1,1,1,1,1,1,1
1,0,0,1,1,0,1,0,0,0,,1,1,1,1,1,1,1,1
0,1,0,1,1,0,1,0,0,0,,1,1,1,1,1,1,1,1
1,1,0,1,1,0,1,0,0,0,,1,1,1,1,1,1,1,1
0,0,1,1,1,0,1,0,0,0,,1,1,1,1,1,1,1,1
1,0,1,1,1,0,1,0,0,0,,1,1,1,1,1,1,1,1
0,1,1,1,1,0,1,0,0,0,,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,0,0,0,,1,1,1,1,1,1,1,1
0,0,0,0,0,1,1,0,0,0,,1,1,1,1,1,1,1,1
1,0,0,0,0,1,1,0,0,0,,1,1,1,1,1,1,1,1
0,1,0,0,0,1,1,0,0,0,,1,1,1,1,1,1,1,1
1,1,0,0,0,1,1,0,0,0,,1,1,1,1,1,1,1,1
0,0,1,0,0,1,1,0,0,0,,1,1,1,1,1,1,1,1
1,0,1,0,0,1,1,0,0,0,,1,1,1,1,1,1,1,1
0,1,1,0,0,1,1,0,0,0,,1,1,1,1,1,1,1,1
1,1,1,0,0,1,1,0,0,0,,1,1,1,1,1,1,1,1
0,0,0,1,0,1,1,0,0,0,,1,1,1,1,1,1,1,1
1,0,0,1,0,1,1,0,0,0,,1,1,1,1,1,1,1,1
0,1,0,1,0,1,1,0,0,0,,1,1,1,1,1,1,1,1
1,1,0,1,0,1,1,0,0,0,,1,1,1,1,1,1,1,1
0,0,1,1,0,1,1,0,0,0,,1,1,1,1,1,1,1,1
1,0,1,1,0,1,1,0,0,0,,1,1,1,1,1,1,1,1
0,1,1,1,0,1,1,0,0,0,,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,0,0,0,,1,1,1,1,1,1,1,1
0,0,0,0,1,1,1,0,0,0,,1,1,1,1,1,1,1,1
1,0,0,0,1,1,1,0,0,0,,1,1,1,1,1,1,1,1
0,1,0,0,1,1,1,0,0,0,,1,1,1,1,1,1,1,1
1,1,0,0,1,1,1,0,0,0,,1,1,1,1,1,1,1,1
0,0,1,0,1,1,1,0,0,0,,1,1,1,1,1,1,1,1
1,0,1,0,1,1,1,0,0,0,,1,1,1,1,1,1,1,1
0,1,1,0,1,1,1,0,0,0,,1,1,1,1,1,1,1,1
1,1,1,0,1,1,1,0,0,0,,1,1,1,1,1,1,1,1
0,0,0,1,1,1,1,0,0,0,,1,1,1,1,1,1,1,1
1,0,0,1,1,1,1,0,0,0,,1,1,1,1,1,1,1,1
0,1,0,1,1,1,1,0,0,0,,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,0,0,0,,1,1,1,1,1,1,1,1
0,0,1,1,1,1,1,0,0,0,,1,1,1,1,1,1,1,1
1,0,1,1,1,1,1,0,0,0,,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,0,0,0,,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,0,0,,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,1,0,0,,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,1,0,0,,1,1,1,1,1,1,1,1
0,1,0,0,0,0,0,1,0,0,,1,1,1,1,1,1,1,1
1,1,0,0,0,0,0,1,0,0,,1,1,1,1,1,1,1,1
0,0,1,0,0,0,0,1,0,0,,1,1,1,1,1,1,1,1
1,0,1,0,0,0,0,1,0,0,,1,1,1,1,1,1,1,1
0,1,1,0,0,0,0,1,0,0,,1,1,1,1,1,1,1,1
1,1,1,0,0,0,0,1,0,0,,1,1,1,1,1,1,1,1
0,0,0,1,0,0,0,1,0,0,,1,1,1,1,1,1,1,1
1,0,0,1,0,0,0,1,0,0,,1,1,1,1,1,1,1,1
0,1,0,1,0,0,0,1,0,0,,1,1,1,1,1,1,1,1
1,1,0,1,0,0,0,1,0,0,,1,1,1,1,1,1,1,1
0,0,1,1,0,0,0,1,0,0,,1,1,1,1,1,1,1,1
1,0,1,1,0,0,0,1,0,0,,1,1,1,1,1,1,1,1
0,1,1,1,0,0,0,1,0,0,,1,1,1,1,1,1,1,1
1,1,1,1,0,0,0,1,0,0,,1,1,1,1,1,1,1,1
0,0,0,0,1,0,0,1,0,0,,1,1,1,1,1,1,1,1
1,0,0,0,1,0,0,1,0,0,,1,1,1,1,1,1,1,1
0,1,0,0,1,0,0,1,0,0,,1,1,1,1,1,1,1,1
1,1,0,0,1,0,0,1,0,0,,1,1,1,1,1,1,1,1
0,0,1,0,1,0,0,1,0,0,,1,1,1,1,1,1,1,1
1,0,1,0,1,0,0,1,0,0,,1,1,1,1,1,1,1,1
0,1,1,0,1,0,0,1,0,0,,1,1,1,1,1,1,1,1
1,1,1,0,1,0,0,1,0,0,,1,1,1,1,1,1,1,1
0,0,0,1,1,0,0,1,0,0,,1,1,1,1,1,1,1,1
1,0,0,1,1,0,0,1,0,0,,1,1,1,1,1,1,1,1
0,1,0,1,1,0,0,1,0,0,,1,1,1,1,1,1,1,1
1,1,0,1,1,0,0,1,0,0,,1,1,1,1,1,1,1,1
0,0,1,1,1,0,0,1,0,0,,1,1,1,1,1,1,1,1
1,0,1,1,1,0,0,1,0,0,,1,1,1,1,1,1,1,1
0,1,1,1,1,0,0,1,0,0,,1,1,1,1,1,1,1,1
1,1,1,1,1,0,0,1,0,0,,1,1,1,1,1,1,1,1
0,0,0,0,0,1,0,1,0,0,,1,1,1,1,1,1,1,1
1,0,0,0,0,1,0,1,0,0,,1,1,1,1,1,1,1,1
0,1,0,0,0,1,0,1,0,0,,1,1,1,1,1,1,1,1
1,1,0,0,0,1,0,1,0,0,,1,1,1,1,1,1,1,1
0,0,1,0,0,1,0,1,0,0,,1,1,1,1,1,1,1,1
1,0,1,0,0,1,0,1,0,0,,1,1,1,1,1,1,1,1
0,1,1,0,0,1,0,1,0,0,,1,1,1,1,1,1,1,1
1,1,1,0,0,1,0,1,0,0,,1,1,1,1,1,1,1,1
0,0,0,1,0,1,0,1,0,0,,1,1,1,1,1,1,1,1
1,0,0,1,0,1,0,1,0,0,,1,1,1,1,1,1,1,1
0,1,0,1,0,1,0,1,0,0,,1,1,1,1,1,1,1,1
1,1,0,1,0,1,0,1,0,0,,1,1,1,1,1,1,1,1
0,0,1,1,0,1,0,1,0,0,,1,1,1,1,1,1,1,1
1,0,1,1,0,1,0,1,0,0,,1,1,1,1,1,1,1,1
0,1,1,1,0,1,0,1,0,0,,1,1,1,1,1,1,1,1
1,1,1,1,0,1,0,1,0,0,,1,1,1,1,1,1,1,1
0,0,0,0,1,1,0,1,0,0,,1,1,1,1,1,1,1,1
1,0,0,0,1,1,0,1,0,0,,1,1,1,1,1,1,1,1
0,1,0,0,1,1,0,1,0,0,,1,1,1,1,1,1,1,1
1,1,0,0,1,1,0,1,0,0,,1,1,1,1,1,1,1,1
0,0,1,0,1,1,0,1,0,0,,1,1,1,1,1,1,1,1
1,0,1,0,1,1,0,1,0,0,,1,1,1,1,1,1,1,1
0,1,1,0,1,1,0,1,0,0,,1,1,1,1,1,1,1,1
1,1,1,0,1,1,0,1,0,0,,1,1,1,1,1,1,1,1
0,0,0,1,1,1,0,1,0,0,,1,1,1,1,1,1,1,1
1,0,0,1,1,1,0,1,0,0,,1,1,1,1,1,1,1,1
0,1,0,1,1,1,0,1,0,0,,1,1,1,1,1,1,1,1
1,1,0,1,1,1,0,1,0,0,,1,1,1,1,1,1,1,1
0,0,1,1,1,1,0,1,0,0,,1,1,1,1,1,1,1,1
1,0,1,1,1,1,0,1,0,0,,1,1,1,1,1,1,1,1
0,1,1,1,1,1,0,1,0,0,,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,0,0,,1,1,1,1,1,1,1,1
0,0,0,0,0,0,1,1,0,0,,1,1,1,1,1,1,1,1
1,0,0,0,0,0,1,1,0,0,,1,1,1,1,1,1,1,1
0,1,0,0,0,0,1,1,0,0,,1,1,1,1,1,1,1,1
1,1,0,0,0,0,1,1,0,0,,1,1,1,1,1,1,1,1
0,0,1,0,0,0,1,1,0,0,,1,1,1,1,1,1,1,1
1,0,1,0,0,0,1,1,0,0,,1,1,1,1,1,1,1,1
0,1,1,0,0,0,1,1,0,0,,1,1,1,1,1,1,1,1
1,1,1,0,0,0,1,1,0,0,,1,1,1,1,1,1,1,1
0,0,0,1,0,0,1,1,0,0,,1,1,1,1,1,1,1,1
1,0,0,1,0,0,1,1,0,0,,1,1,1,1,1,1,1,1
0,1,0,1,0,0,1,1,0,0,,1,1,1,1,1,1,1,1
1,1,0,1,0,0,1,1,0,0,,1,1,1,1,1,1,1,1
0,0,1,1,0,0,1,1,0,0,,1,1,1,1,1,1,1,1
1,0,1,1,0,0,1,1,0,0,,1,1,1,1,1,1,1,1
0,1,1,1,0,0,1,1,0,0,,1,1,1,1,1,1,1,1
1,1,1,1,0,0,1,1,0,0,,1,1,1,1,1,1,1,1
0,0,0,0,1,0,1,1,0,0,,1,1,1,1,1,1,1,1
1,0,0,0,1,0,1,1,0,0,,1,1,1,1,1,1,1,1
0,1,0,0,1,0,1,1,0,0,,1,1,1,1,1,1,1,1
1,1,0,0,1,0,1,1,0,0,,1,1,1,1,1,1,1,1
0,0,1,0,1,0,1,1,0,0,,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,1,0,0,,1,1,1,1,1,1,1,1
0,1,1,0,1,0,1,1,0,0,,1,1,1,1,1,1,1,1
1,1,1,0,1,0,1,1,0,0,,1,1,1,1,1,1,1,1
0,0,0,1,1,0,1,1,0,0,,1,1,1,1,1,1,1,1
1,0,0,1,1,0,1,1,0,0,,1,1,1,1,1,1,1,1
0,1,0,1,1,0,1,1,0,0,,1,1,1,1,1,1,1,1
1,1,0,1,1,0,1,1,0,0,,1,1,1,1,1,1,1,1
0,0,1,1,1,0,1,1,0,0,,1,1,1,1,1,1,1,1
1,0,1,1,1,0,1,1,0,0,,1,1,1,1,1,1,1,1
0,1,1,1,1,0,1,1,0,0,,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,0,0,,1,1,1,1,1,1,1,1
0,0,0,0,0,1,1,1,0,0,,1,1,1,1,1,1,1,1
1,0,0,0,0,1,1,1,0,0,,1,1,1,1,1,1,1,1
0,1,0,0,0,1,1,1,0,0,,1,1,1,1,1,1,1,1
1,1,0,0,0,1,1,1,0,0,,1,1,1,1,1,1,1,1
0,0,1,0,0,1,1,1,0,0,,1,1,1,1,1,1,1,1
1,0,1,0,0,1,1,1,0,0,,1,1,1,1,1,1,1,1
0,1,1,0,0,1,1,1,0,0,,1,1,1,1,1,1,1,1
1,1,1,0,0,1,1,1,0,0,,1,1,1,1,1,1,1,1
0,0,0,1,0,1,1,1,0,0,,1,1,1,1,1,1,1,1
1,0,0,1,0,1,1,1,0,0,,1,1,1,1,1,1,1,1
0,1,0,1,0,1,1,1,0,0,,1,1,1,1,1,1,1,1
1,1,0,1,0,1,1,1,0,0,,1,1,1,1,1,1,1,1
0,0,1,1,0,1,1,1,0,0,,1,1,1,1,1,1,1,1
1,0,1,1,0,1,1,1,0,0,,1,1,1,1,1,1,1,1
0,1,1,1,0,1,1,1,0,0,,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,1,0,0,,1,1,1,1,1,1,1,1
0,0,0,0,1,1,1,1,0,0,,1,1,1,1,1,1,1,1
1,0,0,0,1,1,1,1,0,0,,1,1,1,1,1,1,1,1
0,1,0,0,1,1,1,1,0,0,,1,1,1,1,1,1,1,1
1,1,0,0,1,1,1,1,0,0,,1,1,1,1,1,1,1,1
0,0,1,0,1,1,1,1,0,0,,1,1,1,1,1,1,1,1
1,0,1,0,1,1,1,1,0,0,,1,1,1,1,1,1,1,1
0,1,1,0,1,1,1,1,0,0,,1,1,1,1,1,1,1,1
1,1,1,0,1,1,1,1,0,0,,1,1,1,1,1,1,1,1
0,0,0,1,1,1,1,1,0,0,,1,1,1,1,1,1,1,1
1,0,0,1,1,1,1,1,0,0,,1,1,1,1,1,1,1,1
0,1,0,1,1,1,1,1,0,0,,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,0,0,,1,1,1,1,1,1,1,1
0,0,1,1,1,1,1,1,0,0,,1,1,1,1,1,1,1,1
1,0,1,1,1,1,1,1,0,0,,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,0,0,,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0,,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,1,0,,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,1,0,,1,1,1,1,1,1,1,1
0,1,0,0,0,0,0,0,1,0,,1,1,1,1,1,1,1,1
1,1,0,0,0,0,0,0,1,0,,1,1,1,1,1,1,1,1
0,0,1,0,0,0,0,0,1,0,,1,1,1,1,1,1,1,1
1,0,1,0,0,0,0,0,1,0,,1,1,1,1,1,1,1,1
0,1,1,0,0,0,0,0,1,0,,1,1,1,1,1,1,1,1
1,1,1,0,0,0,0,0,1,0,,1,1,1,1,1,1,1,1
0,0,0,1,0,0,0,0,1,0,,1,1,1,1,1,1,1,1
1,0,0,1,0,0,0,0,1,0,,1,1,1,1,1,1,1,1
0,1,0,1,0,0,0,0,1,0,,1,1,1,1,1,1,1,1
1,1,0,1,0,0,0,0,1,0,,1,1,1,1,1,1,1,1
0,0,1,1,0,0,0,0,1,0,,1,1,1,1,1,1,1,1
1,0,1,1,0,0,0,0,1,0,,1,1,1,1,1,1,1,1
0,1,1,1,0,0,0,0,1,0,,1,1,1,1,1,1,1,1
1,1,1,1,0,0,0,0,1,0,,1,1,1,1,1,1,1,1
0,0,0,0,1,0,0,0,1,0,,1,1,1,1,1,1,1,1
1,0,0,0,1,0,0,0,1,0,,1,1,1,1,1,1,1,1
0,1,0,0,1,0,0,0,1,0,,1,1,1,1,1,1,1,1
1,1,0,0,1,0,0,0,1,0,,1,1,1,1,1,1,1,1
0,0,1,0,1,0,0,0,1,0,,1,1,1,1,1,1,1,1
1,0,1,0,1,0,0,0,1,0,,1,1,1,1,1,1,1,1
0,1,1,0,1,0,0,0,1,0,,1,1,1,1,1,1,1,1
1,1,1,0,1,0,0,0,1,0,,1,1,1,1,1,1,1,1
0,0,0,1,1,0,0,0,1,0,,1,1,1,1,1,1,1,1
1,0,0,1,1,0,0,0,1,0,,1,1,1,1,1,1,1,1
0,1,0,1,1,0,0,0,1,0,,1,1,1,1,1,1,1,1
1,1,0,1,1,0,0,0,1,0,,1,1,1,1,1,1,1,1
0,0,1,1,1,0,0,0,1,0,,1,1,1,1,1,1,1,1
1,0,1,1,1,0,0,0,1,0,,1,1,1,1,1,1,1,1
0,1,1,1,1,0,0,0,1,0,,1,1,1,1,1,1,1,1
1,1,1,1,1,0,0,0,1,0,,1,1,1,1,1,1,1,1
0,0,0,0,0,1,0,0,1,0,,1,1,1,1,1,1,1,1
1,0,0,0,0,1,0,0,1,0,,1,1,1,1,1,1,1,1
0,1,0,0,0,1,0,0,1,0,,1,1,1,1,1,1,1,1
1,1,0,0,0,1,0,0,1,0,,1,1,1,1,1,1,1,1
0,0,1,0,0,1,0,0,1,0,,1,1,1,1,1,1,1,1
1,0,1,0,0,1,0,0,1,0,,1,1,1,1,1,1,1,1
0,1,1,0,0,1,0,0,1,0,,1,1,1,1,1,1,1,1
1,1,1,0,0,1,0,0,1,0,,1,1,1,1,1,1,1,1
0,0,0,1,0,1,0,0,1,0,,1,1,1,1,1,1,1,1
1,0,0,1,0,1,0,0,1,0,,1,1,1,1,1,1,1,1
0,1,0,1,0,1,0,0,1,0,,1,1,1,1,1,1,1,1
1,1,0,1,0,1,0,0,1,0,,1,1,1,1,1,1,1,1
0,0,1,1,0,1,0,0,1,0,,1,1,1,1,1,1,1,1
1,0,1,1,0,1,0,0,1,0,,1,1,1,1,1,1,1,1
0,1,1,1,0,1,0,0,1,0,,1,1,1,1,1,1,1,1
1,1,1,1,0,1,0,0,1,0,,1,1,1,1,1,1,1,1
0,0,0,0,1,1,0,0,1,0,,1,1,1,1,1,1,1,1
1,0,0,0,1,1,0,0,1,0,,1,1,1,1,1,1,1,1
0,1,0,0,1,1,0,0,1,0,,1,1,1,1,1,1,1,1
1,1,0,0,1,1,0,0,1,0,,1,1,1,1,1,1,1,1
0,0,1,0,1,1,0,0,1,0,,1,1,1,1,1,1,1,1
1,0,1,0,1,1,0,0,1,0,,1,1,1,1,1,1,1,1
0,1,1,0,1,1,0,0,1,0,,1,1,1,1,1,1,1,1
1,1,1,0,1,1,0,0,1,0,,1,1,1,1,1,1,1,1
0,0,0,1,1,1,0,0,1,0,,1,1,1,1,1,1,1,1
1,0,0,1,1,1,0,0,1,0,,1,1,1,1,1,1,1,1
0,1,0,1,1,1,0,0,1,0,,1,1,1,1,1,1,1,1
1,1,0,1,1,1,0,0,1,0,,1,1,1,1,1,1,1,1
0,0,1,1,1,1,0,0,1,0,,1,1,1,1,1,1,1,1
1,0,1,1,1,1,0,0,1,0,,1,1,1,1,1,1,1,1
0,1,1,1,1,1,0,0,1,0,,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,0,1,0,,1,1,1,1,1,1,1,1
0,0,0,0,0,0,1,0,1,0,,1,1,1,1,1,1,1,1
1,0,0,0,0,0,1,0,1,0,,1,1,1,1,1,1,1,1
0,1,0,0,0,0,1,0,1,0,,1,1,1,1,1,1,1,1
1,1,0,0,0,0,1,0,1,0,,1,1,1,1,1,1,1,1
0,0,1,0,0,0,1,0,1,0,,1,1,1,1,1,1,1,1
1,0,1,0,0,0,1,0,1,0,,1,1,1,1,1,1,1,1
0,1,1,0,0,0,1,0,1,0,,1,1,1,1,1,1,1,1
1,1,1,0,0,0,1,0,1,0,,1,1,1,1,1,1,1,1
0,0,0,1,0,0,1,0,1,0,,1,1,1,1,1,1,1,1
1,0,0,1,0,0,1,0,1,0,,1,1,1,1,1,1,1,1
0,1,0,1,0,0,1,0,1,0,,1,1,1,1,1,1,1,1
1,1,0,1,0,0,1,0,1,0,,1,1,1,1,1,1,1,1
0,0,1,1,0,0,1,0,1,0,,1,1,1,1,1,1,1,1
1,0,1,1,0,0,1,0,1,0,,1,1,1,1,1,1,1,1
0,1,1,1,0,0,1,0,1,0,,1,1,1,1,1,1,1,1
1,1,1,1,0,0,1,0,1,0,,1,1,1,1,1,1,1,1
0,0,0,0,1,0,1,0,1,0,,1,1,1,1,1,1,1,1
1,0,0,0,1,0,1,0,1,0,,1,1,1,1,1,1,1,1
0,1,0,0,1,0,1,0,1,0,,1,1,1,1,1,1,1,1
1,1,0,0,1,0,1,0,1,0,,1,1,1,1,1,1,1,1
0,0,1,0,1,0,1,0,1,0,,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0,,1,1,1,1,1,1,1,1
0,1,1,0,1,0,1,0,1,0,,1,1,1,1,1,1,1,1
1,1,1,0,1,0,1,0,1,0,,1,1,1,1,1,1,1,1
0,0,0,1,1,0,1,0,1,0,,1,1,1,1,1,1,1,1
1,0,0,1,1,0,1,0,1,0,,1,1,1,1,1,1,1,1
0,1,0,1,1,0,1,0,1,0,,1,1,1,1,1,1,1,1
1,1,0,1,1,0,1,0,1,0,,1,1,1,1,1,1,1,1
0,0,1,1,1,0,1,0,1,0,,1,1,1,1,1,1,1,1
1,0,1,1,1,0,1,0,1,0,,1,1,1,1,1,1,1,1
0,1,1,1,1,0,1,0,1,0,,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,0,1,0,,1,1,1,1,1,1,1,1
0,0,0,0,0,1,1,0,1,0,,1,1,1,1,1,1,1,1
1,0,0,0,0,1,1,0,1,0,,1,1,1,1,1,1,1,1
0,1,0,0,0,1,1,0,1,0,,1,1,1,1,1,1,1,1
1,1,0,0,0,1,1,0,1,0,,1,1,1,1,1,1,1,1
0,0,1,0,0,1,1,0,1,0,,1,1,1,1,1,1,1,1
1,0,1,0,0,1,1,0,1,0,,1,1,1,1,1,1,1,1
0,1,1,0,0,1,1,0,1,0,,1,1,1,1,1,1,1,1
1,1,1,0,0,1,1,0,1,0,,1,1,1,1,1,1,1,1
0,0,0,1,0,1,1,0,1,0,,1,1,1,1,1,1,1,1
1,0,0,1,0,1,1,0,1,0,,1,1,1,1,1,1,1,1
0,1,0,1,0,1,1,0,1,0,,1,1,1,1,1,1,1,1
1,1,0,1,0,1,1,0,1,0,,1,1,1,1,1,1,1,1
0,0,1,1,0,1,1,0,1,0,,1,1,1,1,1,1,1,1
1,0,1,1,0,1,1,0,1,0,,1,1,1,1,1,1,1,1
0,1,1,1,0,1,1,0,1,0,,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,0,1,0,,1,1,1,1,1,1,1,1
0,0,0,0,1,1,1,0,1,0,,1,1,1,1,1,1,1,1
1,0,0,0,1,1,1,0,1,0,,1,1,1,1,1,1,1,1
0,1,0,0,1,1,1,0,1,0,,1,1,1,1,1,1,1,1
1,1,0,0,1,1,1,0,1,0,,1,1,1,1,1,1,1,1
0,0,1,0,1,1,1,0,1,0,,1,1,1,1,1,1,1,1
